filename,team,method,board,score,m_plus,delta_m_plus,m_cross,delta_m_cross,c_plus,delta_c_plus,c_cross,delta_c_cross
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-multi-im3shape-0-mgv-2-2013-11-20T18:31:15.047790+00:00.g3,COGS,im3shape-multi,multiepoch-ground-variable-post,36.8372880144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-multi-im3shape-0-msc-2-2013-11-20T18:31:48.414822+00:00.g3,COGS,im3shape-multi,multiepoch-space-constant-post,3.23409945811,-1.28362067913,0.117511003103,-0.81866468741,0.109187879728,0.000399175453881,0.00307260931583,0.00627598456094,0.00272320640147
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-multi-im3shape-0-msv-2-2013-11-20T18:32:24.853968+00:00.g3,COGS,im3shape-multi,multiepoch-space-variable-post,58.0644579718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-1-2013-11-25T13:51:30.005482+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-2-2013-11-25T14:19:05.965281+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,14.6827266585,-0.171617725238,0.0378709160864,-0.274901286114,0.0353906281662,0.00869628500861,0.00095585914203,0.000687498145754,0.000901566077447
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-coadd-im3shape-0-mgc-3-2013-11-25T14:48:27.771173+00:00.g3,COGS,im3shape-coadd,multiepoch-ground-constant-post,3.64681837288,-0.83872547479,0.0784328372972,-1.0592491664,0.0699919635065,0.00149438442242,0.00190447328801,-0.00185315487382,0.00177031068137
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-3-2013-11-25T15:16:42.956096+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,3.29630914819,-1.10049874595,0.0651626302995,-1.01182808205,0.0708194240777,0.000835664864954,0.00164470000536,0.000785978468334,0.00180410446723
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-coadd-im3shape-coadd-0-mgv-2-2013-11-25T15:48:23.669901+00:00.g3,COGS,im3shape-coadd,multiepoch-ground-variable-post,92.3524527545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-coadd-im3shape-0-msc-3-2013-11-26T09:36:05.232687+00:00.g3,COGS,im3shape-coadd,multiepoch-space-constant-post,3.48205983971,-1.00967393826,0.0242317846911,-0.991699804943,0.0236405020128,-0.000474589831767,0.000633598602812,0.000284859615339,0.000589607258385
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-coadd-im3shape-0-msv-3-2013-11-26T09:36:38.517824+00:00.g3,COGS,im3shape-coadd,multiepoch-space-variable-post,12.5052026868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/cogs-im3shape-multi-im3shape-0-mgc-multi-3-2013-11-26T10:04:30.199228+00:00.g3,COGS,im3shape-multi,multiepoch-ground-constant-post,3.67328564144,-0.84149845948,0.0759669269078,-1.04456470533,0.0679711357147,0.00152050583877,0.00184459708527,-0.00187039191544,0.00171919777003
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-4-2013-11-28T13:15:20.108110+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,26.7668318671,-0.0695209058706,0.0563848521642,-0.0173574790917,0.0233658992469,0.0169319904292,0.00142314952958,0.000873235076387,0.000595239565432
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-5-2013-11-28T13:41:20.024992+00:00.g3,EPFL_HNN,HNN,control-ground-constant-post,41.5247487875,-0.0500891486645,0.0280477090328,-0.106333890197,0.0285501235954,0.00139546259289,0.000707922117088,0.000758243484214,0.000727306190205
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_gc_2-2013-11-29T11:27:48.304364+00:00.g3,EPFL_KSB,KSB,control-ground-constant-post,3.18743785612,-1.49513248593,0.532063639337,-0.269975928889,0.252814985846,0.0253024672379,0.0134292471997,0.0134107503054,0.0064403890781
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_gv_2-2013-11-29T11:28:20.054610+00:00.g3,EPFL_KSB,KSB,control-ground-variable-post,3.64767734723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_sc_2-2013-11-29T11:28:48.363099+00:00.g3,EPFL_KSB,KSB,control-space-constant-post,5.28438482266,-0.488858038183,0.149155525156,-0.791854300849,0.144130379373,0.00416827201701,0.00357983857143,0.00436944294492,0.00383503443296
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_sv_2-2013-11-29T11:29:14.723807+00:00.g3,EPFL_KSB,KSB,control-space-variable-post,7.22659405811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-6-2013-11-29T14:54:04.508449+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,98.6870554875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn-7-2013-11-29T14:58:25.244587+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,97.5374439584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_hnn-hnn-epfl_hnn_8-2013-11-29T17:23:19.965385+00:00.g3,EPFL_HNN,HNN,control-ground-variable-post,89.2269953559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
